full_species_name,num_images,total_shapes
Acanthotomicus_unknown,1,0
Ambrosiodmus_asperatus,16,14
Ambrosiodmus_devexulus,16,15
Ambrosiodmus_hagedorni,17,16
Ambrosiodmus_lewisi,20,24
Ambrosiodmus_minor,80,256
Ambrosiodmus_obliquus,19,16
Ambrosiodmus_rubricollis,29,35
Ambrosiodmus_tachygraphus,15,13
Ambrosiodmus_unknown,28,0
Ambrosiophilus_atratus,79,163
Ambrosiophilus_unknown,17,0
Ancipitis_unknown,2,0
Anisandrus_dispar,91,501
Anisandrus_maiche,44,643
Anisandrus_obesus,18,363
Anisandrus_sayi,54,1140
Anisandrus_unknown,1,0
Baiocis_pernanulus,3,0
Beaverium_insulindicus,14,11
Beaverium_unknown,3,0
Carchesiopygus_multidentatus,6,0
Carphoborus_bicornis,15,13
Carphoborus_bifurcus,37,1077
Chaetoptelius_mundulus,38,34
Cnesinus_strigicollis,15,13
Cnestus_bimaculatus,18,16
Cnestus_mutilatus,173,1348
Coccotrypes_carpophagus,65,2703
Coccotrypes_dactyliperda,233,3858
Coccotrypes_unknown,11,0
Coptoborus_coartatus,14,14
Coptoborus_pseudotenuis,15,14
Coptoborus_ricini,77,1767
Crossotarsus_adursus,6,0
Crossotarsus_bonvouloiri,1,0
Crossotarsus_fairmairei,11,0
Crossotarsus_hastatus,11,0
Crossotarsus_lacordairei,24,12
Crossotarsus_mnizsechi,23,22
Crossotarsus_unknown,3,0
Crossotarsus_wallacei,58,0
Crossotarusus_declivous,6,0
Cryphalus_mangiferae,27,612
Cryptocarenus_heveae,120,3194
Cryptocarenus_seriatus,43,529
Crypturgus_hispidulus,13,13
Ctonoxylon_hagedorn,86,1419
Cyclorhipidion_bodoanum,26,23
Cyclorhipidion_pelliculosum,52,559
Cyclorhipidion_unknown,2,0
Cyrtogenius_unknown,162,0
Dactylipalpus_transversus,1,0
Dactylipalpus_unknown,7,0
Dactylotrypes_longicollis,38,1090
Debus_emarginatus,15,13
Debus_pumilus,16,15
Debus_unknown,6,0
Dendroctonus_adjunctus,39,274
Dendroctonus_frontalis,41,44
Dendroctonus_ponderosae,27,25
Dendroctonus_pseudotsugae,14,13
Dendroctonus_rufipennis,64,70
Dendroctonus_terebrans,346,1484
Dendroctonus_valens,1956,2181
Dendroterus_defectus,17,15
Diapus_pusilimus,1,0
Diapus_unknown,16,0
Dinoplatypus_chevrolati,1,0
Dinoplatypus_pallidus,22,18
Dinoplatypus_unknown,92,0
Diuncus_haberkorni,15,14
Diuncus_justus,19,17
Diuncus_papatrae,16,15
Dryocoetes_autographus,61,64
Dryocoetes_confusus,20,18
Eccoptopterus_spinosus,20,18
Eidophelus_fagi,20,611
Ernoporus_tiliae,24,213
Euplatypus_compositus,177,1714
Euplatypus_parallelus,16,0
Euwallacea_destruens,12,10
Euwallacea_fornicatus,283,5347
